package	version	repository	optional	size	sha256	url
libllvm	21.1.8-3	main	false	30733892	5056a73f2645fc9c0759e6f94a1bd6edcf36305acaef58dc685211ced9cc2a02	https://packages.termux.dev/apt/termux-main/pool/main/libl/libllvm/libllvm_21.1.8-3_aarch64.deb
libltdl	2.6.2	main	false	17996	7b4643fe9d0ab42c0c3c8a1018640816bdb43d422f2268a5e4ea80675624f539	https://packages.termux.dev/apt/termux-main/pool/main/libl/libltdl/libltdl_2.6.2_aarch64.deb
liblzma	5.8.3	main	false	193040	594925a313879f590fbd24050305551a78eadd9a9319f6e612389b1a521113c6	https://packages.termux.dev/apt/termux-main/pool/main/libl/liblzma/liblzma_5.8.3_aarch64.deb
liblzo	2.10-5	main	false	69560	b8a6d232d592dcd6529589c817927cca3254f3ab40a85fce873d997ace7d1ca2	https://packages.termux.dev/apt/termux-main/pool/main/libl/liblzo/liblzo_2.10-5_aarch64.deb
libmad	0.16.4-2	main	false	63492	4c80f7d460bb4895db93c457c3c090802ee4256edffeb2621736694b3ec04de8	https://packages.termux.dev/apt/termux-main/pool/main/libm/libmad/libmad_0.16.4-2_aarch64.deb
libmagic	5.48-3	main	false	396656	e1ea626c31ac38e31023a61a1b1d347c60caaa860ff4e68f176e3a88806af2cb	https://packages.termux.dev/apt/termux-main/pool/main/libm/libmagic/libmagic_5.48-3_aarch64.deb
libmd	1.1.0-1	main	true	40572	a3fbba499bd8324d3eddb3b8c46fac9577c88772b415b3cf914f39fcbceeb1ef	https://packages.termux.dev/apt/termux-main/pool/main/libm/libmd/libmd_1.1.0-1_aarch64.deb
libmp3lame	3.100-7	main	false	114708	8c28c74209eb5c31675b4e9c1ee5193c1bf22c49ff5965612dcf9aede5d870d9	https://packages.termux.dev/apt/termux-main/pool/main/libm/libmp3lame/libmp3lame_3.100-7_aarch64.deb
libmpfr	4.2.1-1	main	false	272112	5edf5a36e6f4773dc827d37ea515db27c242d3631f3030188a3324be2e00e4c6	https://packages.termux.dev/apt/termux-main/pool/main/libm/libmpfr/libmpfr_4.2.1-1_aarch64.deb
libmpg123	1.33.5	main	false	174520	881cc85f8395a675407406ca026ac9cc81eddcf4df01f93d7f67956a63c21d5c	https://packages.termux.dev/apt/termux-main/pool/main/libm/libmpg123/libmpg123_1.33.5_aarch64.deb
